01_Feature,cfg1,cfg2,cfg3,cfg4,cfg5,cfg6,cfg7
live,False,True,True,True,True,False,True
is_first_base_installation,False,True,any,any,any,any,any
state_data_dump,True,any,any,any,any,any,any
val_bbx_onl_fld,False,True,False,False,any,False,any
undistort,False,True,False,True,False,False,False
remote_calibrations,False,False,False,any,True,True,any
coco_val_pak,False,True,False,False,any,False,any
camReboot,False,True,False,False,False,True,True
adjust_sz_based_on_batter,True,True,False,False,False,False,False
show_pose_estimation,True,False,False,False,False,False,False
camSetting,True,True,False,True,False,False,False
display_pose_estimation,True,False,False,False,False,False,False
save_plot_flag,True,True,False,False,False,False,any
zone_indicator,False,False,False,True,True,False,False
accuracy,False,False,False,True,False,False,any
overlay,True,any,any,any,any,any,any
setZone,False,False,False,False,True,False,False
pose,True,False,False,False,False,False,any
show_pose_estimation_global,True,False,False,False,False,False,False
plot_batter,True,any,False,False,False,False,False
swing_store_less,True,any,False,False,False,False,False
record,False,True,False,False,False,False,False
validation_model_type,"""ball""","""""",any,any,any,any,any
camStatus,True,True,False,False,False,True,False
april_tag_finder,False,True,any,any,False,False,False
getFrames,False,False,True,False,any,False,True
display,True,True,False,False,any,False,any
rtsp,True,False,any,any,any,any,any
pixel_format,"""BayerRG8""",any,any,any,any,any,any
stereo,False,False,False,False,False,True,any
batter_present,True,True,False,False,False,False,any
sport_type,"""""",any,any,any,any,any,any
convert,False,False,False,False,False,False,True
validate,True,False,False,False,False,False,False
getPose,False,False,False,True,False,False,False
camStream,False,True,False,False,False,False,False
pose_estimation,True,False,False,False,False,False,False
profiler,True,any,False,False,False,False,any
display_plots,True,False,False,False,False,False,False
camera_type,"""""","""allied""",any,any,any,any,any
new_cams,False,False,False,False,False,False,True
val_bbx_rm_fld,True,any,False,False,any,False,any
ua,True,True,False,False,False,False,True
tp,False,True,any,any,any,any,any
