Requirement ID,Valid,Rule,Parent Feature,Children Features
UA-0,1,R1,root,UA_App
UA-1,1,R3,UA_App,UA_Commands
UA-1.1,1,R3,UA_App,live
UA-1.1.2,1,R2,live,pixel_format
UA-1.1.2.1,1,R4,pixel_format,"pixel_format==BayerRG8, pixel_format==Mono8, pixel_format==RGB8"
UA-1.1.2.2,1,R3,pixel_format==BayerRG8,sharpen_image
UA-1.1.3,1,R3,live,sharpness_score
UA-1.1.4,1,R3,live,undistort
UA-1.1.5,1,R3,live,Camera_Commands
UA-1.1.5.1,1,R4,Camera_Commands,"camReboot, camStatus, camSetting, camStream"
UA-1.1.5.2,1,R8,Camera_Commands,UA_Commands
UA-1.1.5.3,1,R3,camReboot,force
UA-1.1.7,1,R3,live,packetDelay
UA-1.1.8,1,R3,live,auto_exposure
UA-1.1.9,1,R3,live,camReset
UA-1.1.10,1,R3,live,time_profile
UA-1.1.11,1,R2,live,camera_type
UA-1.1.11.1,1,R4,camera_type,"camera_type==lucid, camera_type==allied"
UA-1.1.12,1,R2,live,white_balance_algo
UA-1.1.12.1,1,R4,white_balance_algo,"white_balance_algo==Green, white_balance_algo==Min, white_balance_algo==Mean, white_balance_algo==Max"
UA-1.1.13,1,R2,live,camera_profile
UA-1.1.13.1,1,R4,camera_profile,"camera_profile==dirt, camera_profile==turf, camera_profile==mix"
UA-1.2,1,R4,UA_Commands,"getFrames, getPose, zone_indicator, stereo, pose, accuracy, new_cams, getRawImages, getRawUndetectedBalls, remote_calibrations"
UA-1.2.1,1,R8,getFrames,undistort
UA-1.2.2,1,R7,getFrames,live
UA-1.2.3,1,R7,getPose,undistort
UA-1.2.4,1,R7,getPose,live
UA-1.2.5,1,R3,UA_App,ua
UA-1.2.5.1,1,R3,ua,full_frame
UA-1.2.5.2,1,R3,ua,expand_view
UA-1.2.5.3,1,R3,ua,batter_present
UA-1.2.5.3.1,1,R3,batter_present,show_batter
UA-1.2.5.3.2,1,R3,batter_present,plot_batter
UA-1.2.5.3.3,1,R3,batter_present,swing_store_less
UA-1.2.5.3.4,1,R3,batter_present,adjust_sz_based_on_batter
UA-1.2.5.3.5,1,R3,batter_present,pose_estimation
UA-1.2.5.3.5.1,1,R3,pose_estimation,show_pose_estimation
UA-1.2.5.3.5.2,1,R3,pose_estimation,show_pose_estimation_global
UA-1.2.5.3.5.3,1,R3,pose_estimation,display_pose_estimation
UA-1.2.5.3.6,1,R3,batter_present,ignore_swings
UA-1.2.5.4,1,R3,ua,profiler
UA-1.2.5.5,1,R3,ua,show_full_frames
UA-1.2.5.6,1,R3,ua,play_frame_by_frame
UA-1.2.5.7,1,R3,ua,collect_bat_data
UA-1.2.5.8,1,R3,ua,collect_ball_data
UA-1.2.5.9,1,R3,ua,validate
UA-1.2.5.9.1,1,R8,validate,live
UA-1.2.5.10,1,R3,ua,save_plot_flag
UA-1.2.5.11,1,R3,ua,apply_drifts
UA-1.2.5.12,1,R2,ua,player_age
UA-1.2.5.12.1,1,R4,player_age,"player_age==8, player_age==10, player_age==12, player_age==14, player_age==16, player_age==18"
UA-1.2.5.13,1,R2,ua,player_gender
UA-1.2.5.13.1,1,R4,player_gender,"player_gender==male, player_gender==female"
UA-1.2.5.14,1,R2,ua,sport_type
UA-1.2.5.14.1,1,R4,sport_type,"sport_type==baseball, sport_type==softball"
UA-1.2.5.15,1,R3,ua,ball_detect_zoom
UA-1.2.6,1,R3,new_cams,convert
UA-1.2.7.1,1,R7,getRawUndetectedBalls,live
UA-1.2.7.2,1,R7,getRawUndetectedBalls,ua
UA-1.2.8.1,1,R7,getRawImages,live
UA-1.2.8.2,1,R7,getRawImages,ua
UA-1.2.9,1,R3,UA_App,setZone
UA-1.2.9.1,1,R8,setZone,ua
UA-1.2.9.2,1,R7,setZone,zone_indicator
UA-1.2.9.3,1,R7,setZone,live
UA-1.2.9.4,1,R8,setZone,april_tag_finder
UA-1.2.10.1,1,R8,zone_indicator,ua
UA-1.2.10.2,1,R7,zone_indicator,live
UA-1.2.11,1,R7,show_batter,display
UA-1.2.12,1,R7,display_pose_estimation,display_plots
UA-1.2.13.1,1,R7,show_full_frames,display
UA-1.2.13.2,1,R8,show_full_frames,live
UA-1.2.14.1,1,R8,full_frame,live
UA-1.2.14.2,1,R7,full_frame,display
UA-1.2.15.1,1,R7,play_frame_by_frame,display
UA-1.2.15.2,1,R8,play_frame_by_frame,live
UA-1.2.16,1,R9,send_call,"ua, zone_indicator, setZone, april_tag_finder"
UA-6,1,R3,UA_App,display
UA-6.1,1,R3,display,display_plots
UA-7,1,R3,UA_App,record
UA-7.1,1,R3,record,unencoded
UA-7.2.1,1,R8,record,getFrames
UA-7.2.2,1,R8,record,getPose
UA-7.2.3,1,R8,record,stereo
UA-7.2.4,1,R8,record,accuracy
UA-7.2.5,1,R7,record,live
UA-7.2.6,1,R8,record,getRawImages
UA-7.2.7,1,R8,record,getRawUndetectedBalls
UA-7.2.8,1,R8,record,new_cams
UA-8,1,R3,UA_App,overlay
UA-10,1,R3,UA_App,april_tag_finder
UA-10.1,1,R7,april_tag_finder,live
UA-11,1,R3,UA_App,rtsp
UA-12,1,R3,UA_App,show_marker
UA-13,1,R3,UA_App,send_call
UA-14,1,R3,UA_App,is_first_base_installation
UA-15,1,R3,UA_App,capturer
UA-16,1,R3,UA_App,update_configs
UA-17,1,R3,UA_App,state_data_dump
UA-18,1,R3,UA_App,UA_Validation
UA-18.1,1,R3,UA_Validation,validate_bboxes
UA-18.2,1,R3,UA_Validation,coco_val_pak
UA-18.3,1,R3,UA_Validation,val_bbx_rm_fld
UA-18.4,1,R3,UA_Validation,val_bbx_onl_fld
UA-18.5,1,R2,UA_Validation,validation_model_type
UA-18.5.1,1,R4,validation_model_type,"validation_model_type==bat, validation_model_type==ball"
